,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
211,212,38EmEgXkgK51MT2tPY0EoC,"""Bobby Helms""",3057,,,,,,,-1,
215,216,0DxeaLnv6SyYk2DOqkLO8c,"""MAGIC!""",8196,,,,,,,-1,
216,217,1XLWox9w1Yvbodui0SRhUQ,"""StaySolidRocky""",,,,,,,,-1,
217,218,7keGfmQR4X5w0two1xKZ7d,"""Kungs""",4571371,,,,,,,-1,
218,219,6nxWCVXbOlEVRexSbLsTer,"""Flume""",4490279,http://instagram.com/flumemusic,flumemusic,,,,,0,"{'biography': 'follow @flume', 'blocked_by_viewer': False, 'restricted_by_viewer': False, 'country_block': False, 'external_url': None, 'external_url_linkshimmed': None, 'edge_followed_by': {'count': 0}, 'fbid': '17841407416589305', 'followed_by_viewer': False, 'edge_follow': {'count': 0}, 'follows_viewer': False, 'full_name': '', 'has_ar_effects': False, 'has_clips': False, 'has_guides': False, 'has_channel': False, 'has_blocked_viewer': False, 'highlight_reel_count': 0, 'has_requested_viewer': False, 'id': '7354447219', 'is_business_account': False, 'is_professional_account': False, 'is_joined_recently': False, 'business_category_name': None, 'overall_category_name': None, 'category_enum': None, 'category_name': None, 'is_private': True, 'is_verified': False, 'edge_mutual_followed_by': {'count': 0, 'edges': []}, 'profile_pic_url': 'https://instagram.frpr1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.frpr1-1.fna.fbcdn.net&_nc_ohc=a25KrB-CGvQAX8SvUxD&edm=AIhG1boAAAAA&ccb=7-4&oh=edf9917f91d3a40555dfafb1ec995246&oe=6098DA8F&_nc_sid=5c7e6a&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'profile_pic_url_hd': 'https://instagram.frpr1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.frpr1-1.fna.fbcdn.net&_nc_ohc=a25KrB-CGvQAX8SvUxD&edm=AIhG1boAAAAA&ccb=7-4&oh=edf9917f91d3a40555dfafb1ec995246&oe=6098DA8F&_nc_sid=5c7e6a&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'requested_by_viewer': False, 'should_show_category': False, 'username': 'flumemusic', 'connected_fb_page': None, 'edge_felix_video_timeline': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_owner_to_timeline_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_saved_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_media_collections': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}}"
221,222,2tIP7SsRs7vjIcLrU85W8J,"""The Kid LAROI""",,,,,,,,-1,
223,224,0bdfiayQAKewqEvaU6rXCv,"""MÃ˜""",4538837,,,,,,,-1,
224,225,0c173mlxpT3dSFRgMO8XPh,"""Big Sean""",158552,,,,,,,-1,
226,227,0GM7qgcRCORpGnfcN2tCiB,"""Tainy""",,,,,,,,-1,
228,229,77SW9BnxLY8rJ0RciFqkHh,"""The Neighbourhood""",146876,,,,,,,-1,
229,230,4SsVbpTthjScTS7U2hmr1X,"""Arcangel""",120589,,,,,,,-1,
230,231,2kCcBybjl3SAtIcwdWpUe3,"""Lil Peep""",,,,,,,,-1,
231,232,5BcAKTbp20cv7tC5VqPFoC,"""Macklemore & Ryan Lewis""",4495390,,,,,,,-1,
232,233,4bL2B6hmLlMWnUEZnorEtG,"""Felix Jaehn""",4562277,,,,,,,-1,
233,234,7FNnA9vBm6EKceENgCGRMb,"""Anitta""",4507448,,,,,,,-1,
235,236,0PFtn5NtBbbUNbU9EAmIWF,"""Toto""",100562,,,,,,,-1,
236,237,0qTZZWLzuD59Un5r1speHm,"""Chris Jeday""",,,,,,,,-1,
237,238,4EzkuveR9pLvDVFNx6foYD,"""James Bay""",4511654,,,,,,,-1,
243,244,0haZhu4fFKt0Ag94kZDiz2,"""Sofia Reyes""",4561557,,,,,,,-1,
